Buffer=64000,Delay=10000,Repeticao=7,,,,,,,,,,,,,,
20250417194504,10.0.4.20,55782,10.0.2.20,5001,1,0.0-1.0,6029372,48234976,,,,,,,,
20250417194505,10.0.4.20,55782,10.0.2.20,5001,1,1.0-2.0,5767168,46137344,,,,,,,,
20250417194506,10.0.4.20,55782,10.0.2.20,5001,1,2.0-3.0,5898240,47185920,,,,,,,,
20250417194507,10.0.4.20,55782,10.0.2.20,5001,1,3.0-4.0,5767168,46137344,,,,,,,,
20250417194508,10.0.4.20,55782,10.0.2.20,5001,1,4.0-5.0,5898240,47185920,,,,,,,,
20250417194509,10.0.4.20,55782,10.0.2.20,5001,1,5.0-6.0,5898240,47185920,,,,,,,,
20250417194510,10.0.4.20,55782,10.0.2.20,5001,1,6.0-7.0,5767168,46137344,,,,,,,,
20250417194511,10.0.4.20,55782,10.0.2.20,5001,1,7.0-8.0,5898240,47185920,,,,,,,,
20250417194512,10.0.4.20,55782,10.0.2.20,5001,1,8.0-9.0,5898240,47185920,,,,,,,,
20250417194513,10.0.4.20,55782,10.0.2.20,5001,1,9.0-10.0,5767168,46137344,,,,,,,,
20250417194514,10.0.4.20,55782,10.0.2.20,5001,1,10.0-11.0,5898240,47185920,,,,,,,,
20250417194515,10.0.4.20,55782,10.0.2.20,5001,1,11.0-12.0,5767168,46137344,,,,,,,,
20250417194516,10.0.4.20,55782,10.0.2.20,5001,1,12.0-13.0,5898240,47185920,,,,,,,,
20250417194517,10.0.4.20,55782,10.0.2.20,5001,1,13.0-14.0,5767168,46137344,,,,,,,,
20250417194518,10.0.4.20,55782,10.0.2.20,5001,1,14.0-15.0,5898240,47185920,,,,,,,,
20250417194519,10.0.4.20,55782,10.0.2.20,5001,1,15.0-16.0,5767168,46137344,,,,,,,,
20250417194520,10.0.4.20,55782,10.0.2.20,5001,1,16.0-17.0,5898240,47185920,,,,,,,,
20250417194520,10.0.4.20,55782,10.0.2.20,5001,1,17.0-18.0,5373892,45166679,,,,,,,,
20250417194520,10.0.4.20,55782,10.0.2.20,5001,1,0.0-18.0,104857600,46728420,,,,,,,,
,,,,,,,,,,,,,,,,
Buffer=64000,Delay=10000,Repeticao=8,,,,,,,,,,,,,,
20250417194547,10.0.4.20,42646,10.0.2.20,5001,1,0.0-1.0,5898300,47186400,,,,,,,,
20250417194548,10.0.4.20,42646,10.0.2.20,5001,1,1.0-2.0,5898240,47185920,,,,,,,,
20250417194549,10.0.4.20,42646,10.0.2.20,5001,1,2.0-3.0,5898240,47185920,,,,,,,,
20250417194550,10.0.4.20,42646,10.0.2.20,5001,1,3.0-4.0,5767168,46137344,,,,,,,,
20250417194551,10.0.4.20,42646,10.0.2.20,5001,1,4.0-5.0,5898240,47185920,,,,,,,,
20250417194552,10.0.4.20,42646,10.0.2.20,5001,1,5.0-6.0,5767168,46137344,,,,,,,,
20250417194553,10.0.4.20,42646,10.0.2.20,5001,1,6.0-7.0,5898240,47185920,,,,,,,,
20250417194554,10.0.4.20,42646,10.0.2.20,5001,1,7.0-8.0,5898240,47185920,,,,,,,,
20250417194555,10.0.4.20,42646,10.0.2.20,5001,1,8.0-9.0,5767168,46137344,,,,,,,,
20250417194556,10.0.4.20,42646,10.0.2.20,5001,1,9.0-10.0,5898240,47185920,,,,,,,,
20250417194557,10.0.4.20,42646,10.0.2.20,5001,1,10.0-11.0,5898240,47185920,,,,,,,,
20250417194558,10.0.4.20,42646,10.0.2.20,5001,1,11.0-12.0,5767168,46137344,,,,,,,,
20250417194559,10.0.4.20,42646,10.0.2.20,5001,1,12.0-13.0,5898240,47185920,,,,,,,,
20250417194600,10.0.4.20,42646,10.0.2.20,5001,1,13.0-14.0,5767168,46137344,,,,,,,,
20250417194601,10.0.4.20,42646,10.0.2.20,5001,1,14.0-15.0,5898240,47185920,,,,,,,,
20250417194602,10.0.4.20,42646,10.0.2.20,5001,1,15.0-16.0,5767168,46137344,,,,,,,,
20250417194603,10.0.4.20,42646,10.0.2.20,5001,1,16.0-17.0,5898240,47185920,,,,,,,,
20250417194603,10.0.4.20,42646,10.0.2.20,5001,1,17.0-17.9,5373892,45316268,,,,,,,,
20250417194603,10.0.4.20,42646,10.0.2.20,5001,1,0.0-17.9,104857600,46736600,,,,,,,,
,,,,,,,,,,,,,,,,
Buffer=64000,Delay=100000,Repeticao=1,,,,,,,,,,,,,,
20250417194628,10.0.4.20,50692,10.0.2.20,5001,1,0.0-1.0,271588,2172704,,Buffer=64000,Delay=100000,Repeticao,,,,
20250417194629,10.0.4.20,50692,10.0.2.20,5001,1,1.0-2.0,1179648,9437184,,,,1,29368651,,,
20250417194630,10.0.4.20,50692,10.0.2.20,5001,1,2.0-3.0,3014656,24117248,,,,2,26565435,,,
20250417194631,10.0.4.20,50692,10.0.2.20,5001,1,3.0-4.0,5505024,44040192,,,,3,47297900,,,
20250417194632,10.0.4.20,50692,10.0.2.20,5001,1,4.0-5.0,5373952,42991616,,,,4,32615537,,,
20250417194633,10.0.4.20,50692,10.0.2.20,5001,1,5.0-6.0,4325376,34603008,,,,5,29388195,,,
20250417194634,10.0.4.20,50692,10.0.2.20,5001,1,6.0-7.0,5111808,40894464,,,,6,24976773,,,
20250417194635,10.0.4.20,50692,10.0.2.20,5001,1,7.0-8.0,3407872,27262976,,,,7,25955118,,,
20250417194636,10.0.4.20,50692,10.0.2.20,5001,1,8.0-9.0,3407872,27262976,,,,8,52745852,,,
20250417194637,10.0.4.20,50692,10.0.2.20,5001,1,9.0-10.0,3932160,31457280,,,,MÉDIA =,"33614182,625",,,
20250417194638,10.0.4.20,50692,10.0.2.20,5001,1,10.0-11.0,3932160,31457280,,,,DESVIO P. =,"10509156,9363101",,,
20250417194639,10.0.4.20,50692,10.0.2.20,5001,1,11.0-12.0,3932160,31457280,,,,RAIZ DE N =,"2,82842712474619",,,
20250417194640,10.0.4.20,50692,10.0.2.20,5001,1,12.0-13.0,4194304,33554432,,,,"T7, 0,025","2,365",,,
20250417194641,10.0.4.20,50692,10.0.2.20,5001,1,13.0-14.0,4063232,32505856,,,,IC = [,"24826911,4462866","42401453,8037134",],
20250417194642,10.0.4.20,50692,10.0.2.20,5001,1,14.0-15.0,3932160,31457280,,,,,,,,
20250417194643,10.0.4.20,50692,10.0.2.20,5001,1,15.0-16.0,3932160,31457280,,,,,,,,
20250417194644,10.0.4.20,50692,10.0.2.20,5001,1,16.0-17.0,3670016,29360128,,,,,,,,
